Model,MMLU-Pro,JudgeBench,Parameters,IFEval,Comparison Task,MT Bench,LLMBar
flan-t5-small,2.58,0.2776219547,"77,000,000",15.24,-1.13057,2.736595869,-0.269086
flan-t5-large,7.88,-0.4448241591,"783,000,000",22.01,1.558274388,-0.8626571894,0.9973116517
flan-t5-xl,12.69,-0.1106613576,"2,850,000,000",22.37,1.743873,2.194268465,1.450231
gemma-2b,3.92,,"2,510,000,000",20.38,1.519590974,,
gemma-1.1-2b-it,5.37,0.5546024442,"2,510,000,000",30.67,1.732868791,2.905564547,0.658541
gemma-2-2b-it,17.22,0.2676714957,"2,610,000,000",56.68,2.027616739,2.823537588,1.015456
gpt2-small,1.84,,"137,000,000",17.93,-1.313103199,,
gpt2-large,1.58,,"812,000,000",20.48,-0.8434847593,,
llama-3.2-1b-it,7.58,0.1185508445,"1,240,000,000",56.98,-0.5504438877,2.197715521,-0.05527
llama-3.2-3b,16.53,,"3,210,000,000",13.37,-1.00617528,,
llama-3.2-3b-it,24.39,-0.104922682,"3,210,000,000",73.93,0.4566054344,2.477593899,1.228031
mistral-7b-it-v0.1,15.72,0.2707325816,"7,240,000,000",44.87,1.422651,2.892409563,-0.29935
mistral-7b-it-v0.3,23.06,0.1376535296,"7,250,000,000",54.65,1.653182,3.618471861,1.515062
mistral-8b-it-2410,25.46,0.2952663898,"8,020,000,000",58.96,2.07983,3.248168468,1.99624
mistral-nemo-it-2407,27.97,0.1839960217,"12,200,000,000",63.8,2.035736,3.189,1.852959
olmo-7b-it,8.72,-0.4428257942,"6,890,000,000",34.73,-0.3034320772,-1.150789499,0.982036
olmoe-1b-7b-0924-it,9.73,0.3097322285,"6,920,000,000",46.67,-0.1994968355,2.066664934,1.393293
olmo-2-0325-32b-it,18.58,,"32,200,000,000",72.44,,3.330261707,
phi-3-mini-4k-it,31.85,0.2188113481,"3,820,000,000",54.77,1.804253,2.185678,1.042436
phi-3.5-mini-it,32.91,0.1380203664,"3,820,000,000",57.75,1.936331749,2.275560856,1.388873
phi-4-mini-it,32.58,0.4587759972,"3,840,000,000",73.78,1.744459,3.360415459,1.698417
phi-3-medium-4k-it,40.84,-0.1088620126,"14,000,000,000",64.23,2.029909,2.91142416,0.833469
qwen-2.5-0.5b-it,8,0.0772715807,"494,000,000",30.71,0.3444279432,0.5233964324,0.199672
qwen-2.5-1.5b-it,19.99,-0.02889403701,"1,540,000,000",44.76,1.071629047,1.15843153,0.649827
qwen-2.5-3b-it,25.05,-0.106022045,"3,090,000,000",64.75,1.38790834,2.218711376,2.057143
qwen-2.5-7b-it,36.52,-0.001965870149,"7,620,000,000",75.85,1.443924,3.070041895,2.220043
qwen-2.5-7b-it-1m,27.83,-0.2812436223,"7,620,000,000",74.48,1.50004518,2.983402014,2.069069
