,Model,IFEval,Big_Bench_Hard,MuSR,Theta
0,flant5-large,22.01,17.51,9.01,-0.9240257740020752
1,flant5-xl,22.37,22.7,11.33,-0.48467954993247986
2,flant5-base,18.91,11.34,3.22,0.5315210819244385
3,flant5-small,15.24,6.36,10.37,0.27342015504837036
4,gemma-1.1-2b-it,30.67,5.86,2.02,0.8317996263504028
5,gemma-2-2b-it,56.68,17.98,7.08,0.14114198088645935
6,llama-3-8b-it,74.08,28.24,1.6,0.0374593511223793
7,llama-3.2-1b-it,56.98,8.74,2.97,-0.07452795654535294
8,llama-3.2-3b-it,73.93,24.06,1.37,-0.4746611416339874
9,mistral-7B-it-v0.1,44.87,7.65,6.13,0.3853733241558075
10,mistral-7B-it-v0.3,54.65,25.57,4.3,0.47676411271095276
11,mistral-8B-it-2410,58.96,25.82,10.72,0.1932131052017212
12,mistral-nemo-it-2407,63.8,29.68,8.48,0.15423709154129028
13,olmo-7b-it,34.73,13.16,4.33,-0.35535573959350586
14,olmoe-1b-7b-0924-it,46.67,14.57,6.07,0.4974953830242157
15,phi-3-medium-4k-it,64.23,49.38,13.05,-0.13247008621692657
16,phi-3-mini-4k-it,54.77,36.56,13.12,0.13597525656223297
17,phi-3.5-mini-it,57.75,36.75,10.1,0.5410405993461609
18,phi-4-mini-it,73.78,38.74,6.45,0.6980578303337097
19,qwen-2.5-0.5b-it,30.71,8.43,0.94,-0.6163009405136108
20,qwen-2.5-1.5b-it,44.76,19.81,3.19,-0.49967366456985474
21,qwen-2.5-3b-it,64.75,25.8,7.57,-0.19794774055480957
22,qwen-2.5-7b-it,75.85,34.89,8.45,-0.4151533544063568
23,qwen-2.5-7b-it-1m,74.48,35.03,9.52,-0.08583714812994003
