,Model,IFEval,Big_Bench_Hard,MuSR,Theta
0,flan-t5-large,22.01,17.51,9.01,-0.21823646128177643
1,flan-t5-xl,22.37,22.7,11.33,0.2145344763994217
2,flan-t5-base,18.91,11.34,3.22,-1.2999355792999268
3,flan-t5-small,15.24,6.36,10.37,-1.3519113063812256
4,gemma-1.1-2b-it,30.67,5.86,2.02,-0.5259084105491638
5,gemma-2-2b-it,56.68,17.98,7.08,-0.1434411108493805
6,llama-3-8b-it,74.08,28.24,1.6,-0.9233226776123047
7,llama-3.2-1b-it,56.98,8.74,2.97,-1.1272765398025513
8,llama-3.2-3b-it,73.93,24.06,1.37,-0.3378947973251343
9,mistral-7b-it-v0.1,44.87,7.65,6.13,-1.1384081840515137
10,mistral-7b-it-v0.3,54.65,25.57,4.3,-0.049786247313022614
11,mistral-8b-it-2410,58.96,25.82,10.72,0.7828044295310974
12,mistral-nemo-it-2407,63.8,29.68,8.48,1.1472293138504028
13,olmo-7b-it,34.73,13.16,4.33,0.18547473847866058
14,olmoe-1b-7b-0924-it,46.67,14.57,6.07,0.007768347859382629
15,phi-3-medium-4k-it,64.23,49.38,13.05,-0.5384655594825745
16,phi-3-mini-4k-it,54.77,36.56,13.12,-0.0695873349905014
17,phi-3.5-mini-it,57.75,36.75,10.1,0.22510743141174316
18,phi-4-mini-it,73.78,38.74,6.45,0.38899892568588257
19,qwen-2.5-0.5b-it,30.71,8.43,0.94,-1.0809892416000366
20,qwen-2.5-1.5b-it,44.76,19.81,3.19,-0.2531754672527313
21,qwen-2.5-3b-it,64.75,25.8,7.57,1.360883116722107
22,qwen-2.5-7b-it-1m,74.48,35.03,9.52,1.5144672393798828
